dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,totalCacheHitOrWaits,totalCacheMisses,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,create SinglePortfolioContext,createDatedPortfolioContext,destroy DatedPortfolioContext,destroy SinglePortfolioContext,getLightPortfolioWithLastUpdated,getPortfolioAttributes list,getPortfolioLastUpdated,getPortfolioPositions with PositionsReportSpec,getPositionsWithTnC,searchPortfolioTree,singlePortfolioContextRmiSvc getPortfolioInstrumentReturn
c111d12a-543f-48bc-b0fd-e3eda042f655,1483,Factor Performance Overview - UC - GCs,187435,18717.17798,0.105317,827.386504,335.882709,1262.072761,19.961008,293.017287,238.597818,416.359269,2568391,827380,1020573,1090258,25504,NA,NA,GEMLTL,208,208,208,208,208,,,123,99,99,,
68adb28c-714d-4c84-87f7-92567b77d454,4834,Portfolio ESG Performance,983174,67579.94583,5805.873105,239.495043,472.684086,1651.40689,58.378677,626.939996,238.052934,756.592064,3720694,1267495,1016841,1025750,1101795,NA,NA,NA,64,64,64,64,64,,8,63,3,,,61
ff6fe44a-c4d3-46c6-865d-da34247d52b2,1545,Factor Performance Attribution,231585,16952.90234,0.119419,2650.306072,300.774123,1504.805675,17.795424,414.49627,236.768184,537.129978,3157336,1011045,1022856,1090258,NA,NA,NA,GEMLTL,,,,,,,,,,,,
bd1f52f9-dff8-4759-b67b-bceeba1cdf1a,5883,FI Overview,395271,5605.731621,0,0,310.332688,1382.150335,353.236838,23311.04705,236.616062,490.980184,76782212,5000125,1006782,1007943,1009312,1009318,1010360,NA,,,,,,,,1,,,,
401afbe9-0436-4278-928c-901b43c75951,3137,ESG Performance Profile,281638,51466.98727,0.099464,1199.446685,2.347223,3035.535824,52.019492,504.941916,236.350248,1025.907884,4954055,1943401,17392,193557625,NA,NA,NA,NA,58,59,96,96,59,,28,37,58,,,
968f6b48-0fa3-4f79-af14-2dc3df8a5455,549,Asset Performance Contribution,616244,955807.2888,0.131159,542.265266,2.635752,178.353974,488.963048,7762.463563,230.620172,1824.066756,8702831,2015510,40424,51148,NA,NA,NA,NA,66,66,66,66,66,,1,1,,,,66
df0bdc59-3663-4542-a6ca-1c83cb068bc0,4897,FI Overview,32310,10153.35486,0,0,199.297654,780.133115,104.476383,1755.76225,226.878463,1002.332613,8240862,2045348,,,,,,,,,,,,,,,,,,
f90720e4-c390-4668-a4af-a56830f023bf,1741,Factor Performance Overview - UC - GCs,285509,21028.29061,0.131187,1257.906574,357.630299,1536.058628,19.646536,421.791442,225.343883,439.83964,3966786,976507,1020573,1090258,25504,NA,NA,GEMLTL,,,,,,,,,,,,
dc0e3d88-56b6-47ef-ba5b-82507a406bd8,6241,Custom Factor Return,NA,3059.712862,0.219851,42.908025,1129.504977,2697.556138,5.021469,88.626839,225.2686,275.561443,4385407,677996,189880449,189924771,189937877,NA,NA,USSLOWL,346,2360,1359,1349,2352,,84,,209,1212,,
1da31492-6c35-4d20-81b8-082834aa38d3,1425,Factor Performance Attribution,485088,11324.89871,3.723579,1678.528413,777.083716,1343.119132,17.043693,565.619254,224.120365,433.563541,5108366,991680,1024038,NA,NA,NA,NA,GEMLTL,376,376,376,376,376,20,20,34,81,,,
